City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
379,pavilosta,56.8879,21.1859,278.1,73,100,4.11,LV,1681025771
380,montague,42.5356,-72.5351,275.93,56,90,0.45,US,1681025772
381,iracoubo,5.4802,-53.2011,297.79,83,60,3.12,GF,1681025772
382,mayor pablo lagerenza,-19.9309,-60.7718,291.51,77,100,1.48,PY,1681025772
383,maniitsoq,65.4167,-52.9,265.3,84,88,7.34,GL,1681025773
384,barranca,-10.75,-77.7667,296.9,84,100,4.12,PE,1681025773
385,talcahuano,-36.7167,-73.1167,281.97,100,20,1.03,CL,1681025774
386,sharan,54.8167,54.0,282.2,30,4,0.45,RU,1681025774
387,mirabad,30.4362,61.8383,306.0,12,0,0.91,AF,1681025774
388,torbay,47.6666,-52.7314,268.47,68,75,7.2,CA,1681025742
389,catamarca,-28.4696,-65.7852,295.04,74,1,5.12,AR,1681025775
390,luganville,-15.5333,167.1667,300.69,79,42,1.25,VU,1681025775
391,santona,43.4439,-3.4576,287.08,49,67,0.69,ES,1681025776
392,nerchinsk,51.9833,116.5833,279.09,31,100,4.96,RU,1681025776
393,auki,-8.7676,160.7034,299.53,83,96,0.81,SB,1681025776
394,formello,42.0801,12.3998,284.97,79,0,0.51,IT,1681025777
395,bryan,30.6744,-96.37,288.62,97,75,2.24,US,1681025541
396,jiazi,22.8779,116.067,293.85,52,1,6.22,CN,1681025777
397,yenagoa,4.9247,6.2642,297.26,92,100,3.39,NG,1681025778
398,riberalta,-10.9833,-66.1,295.03,98,100,1.15,BO,1681025778
399,methoni,36.8197,21.7049,289.07,60,40,1.39,GR,1681025779
400,den helder,52.9599,4.7593,281.49,93,75,4.02,NL,1681025779
401,fare,-16.7,-151.0167,301.08,77,100,8.57,PF,1681025779
402,laukaa,58.7372,29.8453,281.96,65,8,2.03,RU,1681025779
403,dalvik,65.9702,-18.5286,279.11,84,85,4.17,IS,1681025780
404,huilong,31.8111,121.655,287.81,59,43,6.88,CN,1681025780
405,daru,-9.0763,143.2092,299.5,84,100,4.07,PG,1681025780
406,kenai,60.5544,-151.2583,269.2,54,100,6.17,US,1681025730
407,borba,-4.3878,-59.5939,295.16,99,66,0.83,BR,1681025781
408,road town,18.4167,-64.6167,298.2,76,5,8.7,VG,1681025781
409,mandla,22.6,80.3833,308.13,21,76,2.69,IN,1681025781
410,tura,25.5198,90.2201,307.42,16,2,3.08,IN,1681025782
411,ostrovnoy,68.0531,39.5131,273.72,97,100,7.68,RU,1681025782
412,pisco,-13.7,-76.2167,296.18,83,0,5.14,PE,1681025782
413,santa rosa,14.3122,121.1114,305.99,67,94,7.37,PH,1681025783
414,bodhan,18.6667,77.9,309.63,23,9,2.1,IN,1681025783
415,pueblo nuevo,23.3833,-105.3833,281.85,47,0,2.79,MX,1681025783
416,fengzhen,40.4394,113.1536,289.2,20,20,11.04,CN,1681025784
417,alice springs,-23.7,133.8833,304.94,20,24,3.09,AU,1681025784
418,batticaloa,7.7102,81.6924,303.07,60,18,3.88,LK,1681025785
419,upata,8.0086,-62.3989,295.48,90,92,1.75,VE,1681025785
420,erzin,36.9559,36.2,295.32,36,100,2.22,TR,1681025785
421,surt,31.2089,16.5887,288.42,66,100,4.45,LY,1681025786
422,boddam,57.4667,-1.7833,279.5,89,100,8.83,GB,1681025786
423,warrnambool,-38.3833,142.4833,285.56,70,100,7.16,AU,1681025786
424,lalmohan,22.3384,90.7419,306.53,38,0,2.35,BD,1681025787
425,vestmannaeyjar,63.4427,-20.2734,281.23,90,100,17.88,IS,1681025787
426,aldan,58.6031,125.3894,264.14,72,100,3.73,RU,1681025787
427,punto fijo,11.6956,-70.1996,297.64,86,19,9.64,VE,1681025787
428,bay roberts,47.5999,-53.2648,268.89,70,15,3.13,CA,1681025788
429,mirnyy,62.5353,113.9611,262.17,39,100,8.05,RU,1681025788
430,reyes,-14.3167,-67.3833,293.24,89,97,1.03,BO,1681025788
431,chabahar,25.2919,60.643,300.46,41,100,3.0,IR,1681025789
432,keti bandar,24.1447,67.4497,302.25,41,19,5.16,PK,1681025789
